trace,scheduler,fairness_index,throughput_fairness_index,throughput_MBps,avg_latency_s,avg_slowdown,completed,runtime_s,results_path,trace_path
small_mixed.csv,rr,0.994083,0.994083,128.877,3.27021e-05,0.0,60.0,0.00254604,results/full_test_with_minmax/small_mixed_rr.csv,traces/small_mixed.csv
small_mixed.csv,drr,0.994083,0.994083,127.572,4.15319e-05,0.0,60.0,0.00257208,results/full_test_with_minmax/small_mixed_drr.csv,traces/small_mixed.csv
small_mixed.csv,qfq,0.994083,0.994083,128.877,3.27021e-05,0.0,60.0,0.00254604,results/full_test_with_minmax/small_mixed_qfq.csv,traces/small_mixed.csv
small_mixed.csv,flin,0.989281,0.994083,128.877,3.27021e-05,1.0401,60.0,0.00254604,results/full_test_with_minmax/small_mixed_flin.csv,traces/small_mixed.csv
small_mixed.csv,minmax,0.994083,0.994083,128.877,3.27021e-05,0.0,60.0,0.00254604,results/full_test_with_minmax/small_mixed_minmax.csv,traces/small_mixed.csv
synthetic.csv,rr,0.999129,0.999129,7.93881,2.11185e-05,0.0,1000.0,0.492045,results/full_test_with_minmax/synthetic_rr.csv,traces/synthetic.csv
synthetic.csv,drr,0.999129,0.999129,7.93881,2.11185e-05,0.0,1000.0,0.492045,results/full_test_with_minmax/synthetic_drr.csv,traces/synthetic.csv
synthetic.csv,qfq,0.999129,0.999129,7.93881,2.11185e-05,0.0,1000.0,0.492045,results/full_test_with_minmax/synthetic_qfq.csv,traces/synthetic.csv
synthetic.csv,flin,0.998889,0.999129,7.93881,2.11185e-05,1.01742,1000.0,0.492045,results/full_test_with_minmax/synthetic_flin.csv,traces/synthetic.csv
synthetic.csv,minmax,0.999129,0.999129,7.93881,2.11185e-05,0.0,1000.0,0.492045,results/full_test_with_minmax/synthetic_minmax.csv,traces/synthetic.csv
test_all.csv,rr,0.888889,0.888889,7.69231,2.08333e-05,0.0,3.0,0.00203125,results/full_test_with_minmax/test_all_rr.csv,traces/test_all.csv
test_all.csv,drr,1.0,1.0,3.90625,1.5625e-05,0.0,2.0,0.002,results/full_test_with_minmax/test_all_drr.csv,traces/test_all.csv
test_all.csv,qfq,0.888889,0.888889,7.69231,2.08333e-05,0.0,3.0,0.00203125,results/full_test_with_minmax/test_all_qfq.csv,traces/test_all.csv
test_all.csv,flin,0.999423,0.888889,7.69231,2.08333e-05,0.836691,3.0,0.00203125,results/full_test_with_minmax/test_all_flin.csv,traces/test_all.csv
test_all.csv,minmax,0.888889,0.888889,7.69231,2.08333e-05,0.0,3.0,0.00203125,results/full_test_with_minmax/test_all_minmax.csv,traces/test_all.csv
test_minmax.csv,rr,1.0,1.0,7.69231,1.5625e-05,0.0,2.0,0.00101563,results/full_test_with_minmax/test_minmax_rr.csv,traces/test_minmax.csv
test_minmax.csv,drr,1.0,1.0,7.69231,1.5625e-05,0.0,2.0,0.00101563,results/full_test_with_minmax/test_minmax_drr.csv,traces/test_minmax.csv
test_minmax.csv,qfq,1.0,1.0,7.69231,1.5625e-05,0.0,2.0,0.00101563,results/full_test_with_minmax/test_minmax_qfq.csv,traces/test_minmax.csv
test_minmax.csv,flin,0.99935,1.0,7.69231,1.5625e-05,0.75125,2.0,0.00101563,results/full_test_with_minmax/test_minmax_flin.csv,traces/test_minmax.csv
test_minmax.csv,minmax,1.0,1.0,7.69231,1.5625e-05,0.0,2.0,0.00101563,results/full_test_with_minmax/test_minmax_minmax.csv,traces/test_minmax.csv
